id,value,category,label,info
3779,2,event,Read the West Chamber together,"Baoyu went to the foot of the peach blossoms beside Qinfang Bridge to read ""The West Chamber"" and was about to send the fallen flowers into the pond. Daiyu said that she had already prepared a flower tomb and was coming to bury the flowers. Daiyu discovered ""The West Chamber"", and Baoyu borrowed the words and sentences from the book to confess his love to Daiyu. Daiyu felt that it offended her dignity and caused a quarrel. Baoyu apologized and begged for mercy. Daiyu also used the words ""The West Chamber"" to mock Baoyu. So the two of them packed up the fallen flowers and buried them in the flower tomb."
3780,4,event,Lin Ruhai donated the museum to Yangzhou City,"After Lin Ruhai passed the examination, he was moved to Lantai Temple doctor and appointed as the Yan Yan Censor of Yangzhou. Later, he suffered from serious illness and died on the third day of the September 1st."
3781,8,event,Begonia Poetry Club,"In early autumn, Jia Tanchun proposed to invite a poetry club formed by literary people in the Grand View Garden. The purpose of the establishment of the Poetry Society is to ""collect poets in the wind courtyard and the moon pavilion; drink drunk and chant the peaches in the apricot stream, and write poems to show the literary talent of the sisters in the Grand View Garden."" The members of the Poetry Society include Lin Daiyu, Xue Baochai, Shi Xiangyun, Jia Yingchun, Jia Tanchun, Jia Xichun, Jia Baoyu and Li Wan. Daoxiang old farmer (Li Wan) is the president, and Lingzhou (Yingchun) and Ouxie (Xichun) are the vice presidents. One person gives the question and the other person supervises the venue."
3782,2,event,Zijuan Test Jade,"Zijuan wanted to try Baoyu's affection for Daiyu, so she lied to him alone and said that she wanted to return to Suzhou with Daiyu. Baoyu didn't believe it at first, but under Zijuan's words of cheating on the child, Baoyu, who was infatuated, still believed it. This deception made Baoyu go crazy and pointed to the boat in the painting on the wall and said that it was the boat to pick up Lin Meimei... Later, everyone panicked, and finally got better after Zijuan told her. What a cute, confused and infatuated person."
3783,6,event,Nightmare Demon Sister,"After Jia Huan burned Baoyu with an oil lamp, Mrs. Wang scolded Aunt Zhao for not disciplined her properly. After Aunt Zhao was angry, Daopo Ma happened to come to chat with her. During the chat, Aunt Zhao exposed her dissatisfaction with Sister Feng and Baoyu, so Daopo Ma offered a plan to secretly use the nightmare magic to plot. Aunt Zhao paid money to beg Ma Daopa to implement this poisonous move. The conversation was divided into two parts. After Baoyu got hot, Sister Lin came to see him, and Sister Feng and others also came to make fun of him. Sister Feng joked that Sister Lin was the wife of the Jia family. Later, everyone was about to leave, and Baoyu asked Lin Meimei to stop and say something. Just as she was about to speak, Lin Meimei was so embarrassed that she was about to leave. At this time, Ma Daopo's method took effect. Baoyu had a headache and became crazy with Sister Feng. The two of them asked for medical treatment and delayed the medicine. Seeing that the situation was not helpful, the bald monk and the lame Taoist came and saved the two of them with the jade they wore."
3784,2,event,Scarf of red musk,"Then Yuanchun appreciated a lot of things from the palace, everyone had them, but Baoyu and Baochai's were the same, and Daiyu's was the same as the three sisters. Baoyu was very puzzled. When he saw Baochai, he wanted to see the red musk string. The pearls were round and smooth, and the strings were not easy to retreat. Baoyu saw the fantasies that Baochai had on his arms, so Baochai shyly threw the strings to Baoyu. This scene happened to be seen by Daiyu."
3785,3,event,Kirin Fu Duo Stars,"It may imply that a certain two people grow old together, or that they meet each other when they get old and combine them together. Among them, the woman should be Shi Xiangyun (she also has a golden Qilin), but it is a bit unsure who the man is. It may be Wei Ruolan, Jia Baoyu, or someone else."
3786,6,event,Take a mandarin duck,"Yuanyang is Jia Mu's personal maid. In addition to being responsible for Jia Mu's daily life and diet, he also holds the key to Jia Mu's money box and knows Jia Mu's money well. It can be said that whoever marrys Yuanyang is equivalent to having the private money of Jia Mu. Unfortunately, no one knows his son, and Jia She’s plan was discovered by Jia Mu and failed in the end."
3787,4,event,Chasing Qingwen,"Qingwen looks elegant and clever, her eyebrows and eyes look a bit like Lin Daiyu, she is very eloquent and has a good needlework. She once helped Baoyu get sick and replenished her golden fur. She was originally a maid from Lai's mother's house, but because she was loved by Jia Mu, she gave her to Baoyu. Because of spoiling, he developed a kind of unreasonable character. Once when Mrs. Wang came into the garden and saw her beating and scolding the little maid, she felt that she was not well-educated by the aristocratic family. In addition, Wang Shanbao's family and other villains slandered her. When she was sick, she pulled her off from the kang and drove her out (released). Baoyu secretly went to visit her, and Qingwen was deeply moved. That night, Qingwen died tragically. After hearing the little girl say that Qingwen became the hibiscus flower god after her death, Baoyu wrote a long ""Hidden Daughter Eucharist"" to express her condolences."
3788,4,event,Strangely marry You Erjie,"You Erjie looks beautiful, gentle and gentle. Jia Zhen was greedy for his wife's sister's beauty and treated You Erjie meticulously. When he got tired of playing, he gave her to Jia Lian. Fearing Wang Xifeng's tyranny, Jia Lian had to secretly marry You Erjie as his second wife and place her outside Rongguo Mansion. However, Wang Xifeng soon discovered that under her knife-borrowing murder strategy, You Erjie was tortured. When the fetus was killed by a quack doctor, she swallowed the gold and committed suicide in despair."
3789,3,event,Save Jia Lian with soft words,"Qiaojie'er has chickenpox, and the Jia family worships the smallpox. Jia Lian has a good relationship with Duohumeng's wife, but Qiaojie'er recovers from illness 12 days later, Jia Lian moves back to live. Fengjie ordered Ping'er to search Jia Lian's luggage carefully. Ping'er found a strand of black hair, but said nothing to Fengjie."
3790,7,event,Stirring to school,"Baoyu was about to enter the school, and Xiren cleaned up his work and told Baoyu not to be too busy with his homework. After Baoyu said goodbye to his elders in his family, he went to say goodbye to Daiyu alone, not to say goodbye to Baochai. During school, Baoyu and Qin Zhong had a good time playing games on weekdays and Baoyu thought they were both the same type of people, which caused a lot of rumors. Qin Zhong was also jealous of the distant relative of the Jia family, Jin Rong (the nephew of Jia Huang's wife), because of his friendship with each other, and when the Confucian scholars went out, his grandson Jia Rui handled unfairness due to selfish intentions, which caused a dispute and then triggered a big melee in the school. Finally, Jin Rong was forced to kowtow and apologize."
