source,target,label
3838,3851,located at
3839,3851,located at
3840,3851,located at
3841,3851,located at
3842,3851,located at
3843,3856,located at
3844,3851,located at
3845,3851,located at
3846,3851,located at
3847,3848,located at
3851,3856,located at
3852,3853,located at
3858,3850,located at
3862,3850,located at
3863,4051,mother
3863,3869,father
3863,4038,wife
3863,4044,sister
3863,3910,teacher/tutor
3863,4121,nannie
3863,3881,friendly with
3863,3890,friendly with
3863,3893,friendly with
3863,3954,friendly with
3863,3878,common clan
3863,3907,follower
3863,3926,follower
3863,4055,servant
3863,4054,servant
3863,4065,servant
3863,4064,servant
3863,4163,servant
3863,4165,servant
3863,3779,involve
3863,3825,involve
3863,3781,involve
3863,3790,involve
3863,3782,involve
3863,3783,involve
3863,3784,involve
3863,3794,involve
3863,3797,involve
3863,3799,involve
3863,3802,involve
3863,3803,involve
3863,3804,involve
3863,3810,involve
3863,3815,involve
3863,3817,involve
3863,3818,involve
3863,3833,involve
3863,3821,involve
3863,3837,involve
3863,3785,involve
3863,3876,brother
3863,3845,residency
3863,3855,birthplace
3863,4168,godmother
3863,3972,past life/existence
3864,3855,birthplace
3864,3848,residency
3864,4049,wife
3864,3880,father
3865,3855,birthplace
3865,3849,residency
3865,3879,father
3866,3855,birthplace
3866,3849,residency
3866,3865,father
3867,3866,brother
3867,3855,birthplace
3867,3852,residency
3867,3865,father
3868,3820,involve
3868,3786,involve
3868,3855,birthplace
3868,3848,residency
3868,4144,concubine
3868,4145,concubine
3868,4046,wife
3868,4049,mother
3868,3864,father
3869,3818,involve
3869,3812,involve
3869,3804,involve
3869,4116,servant
3869,4096,servant
3869,4142,nannie
3869,3868,brother
3869,3855,birthplace
3869,3848,residency
3869,4143,concubine
3869,4047,concubine
3869,4051,wife
3869,4049,mother
3869,3864,father
3870,3793,involve
3870,3788,involve
3870,3874,friendly with
3870,3849,residency
3870,4053,wife
3870,3873,father
3871,3793,involve
3871,3870,common clan
3871,3881,friendly with
3871,4140,adultery
3872,3910,teacher/tutor
3872,3848,residency
3872,4043,mother
3872,3876,father
3873,3780,involve
3873,3822,involve
3873,3819,involve
3873,3959,servant
3873,3932,servant
3873,3931,servant
3873,3957,follower
3873,3956,follower
3873,3878,common clan
3873,4053,adultery
3873,3855,birthplace
3873,3849,residency
3873,4161,concubine
3873,4079,wife
3873,3867,father
3874,3789,involve
3874,3826,involve
3874,3788,involve
3874,3967,servant
3874,4102,servant
3874,3937,follower
3874,3938,follower
3874,3878,common clan
3874,4122,adultery
3874,4156,nannie
3874,3855,birthplace
3874,3848,residency
3874,4115,concubine
3874,4080,concubine
3874,4056,concubine
3874,4041,wife
3874,3868,father
3875,3878,common clan
3875,3848,residency
3875,4046,mother
3875,3868,father
3876,4072,servant
3876,4103,servant
3876,3878,common clan
3876,3855,birthplace
3876,3848,residency
3876,4043,wife
3876,4051,mother
3876,3869,father
3877,3804,involve
3877,3958,follower
3877,3878,common clan
3877,3874,brother
3877,4045,sister
3877,3848,residency
3877,4047,mother
3877,3869,father
3878,4136,wife
3879,3897,servant
3879,3855,birthplace
3879,3849,residency
3880,3879,brother
3880,3855,birthplace
3880,3848,residency
3881,3790,involve
3881,3810,involve
3881,3922,friendly with
3881,3910,teacher/tutor
3881,4053,sister
3881,3898,father
3882,3855,birthplace
3882,3883,father
3883,3855,birthplace
3883,3899,father
3884,3791,involve
3884,3855,birthplace
3884,3943,father
3885,3795,involve
3885,3792,involve
3885,3890,friendly with
3885,3942,friendly with
3885,3925,friendly with
3885,4068,adultery
3885,3910,teacher/tutor
3885,3855,birthplace
3885,4066,concubine
3885,4076,wife
3885,4075,mother
3885,3953,father
3886,3811,involve
3886,3885,brother
3886,4078,wife
3887,3855,birthplace
3887,3889,father
3888,3855,birthplace
3888,3889,father
3889,3855,birthplace
3889,3902,father
3890,3795,involve
3890,3829,involve
